
time;gfx;gFy;gFz;Bx;By;Bz;
0,0140;-0,0117;-0,0938;1,0085;-12,2500;-1,5000;30,7500;
0,0150;-0,0117;-0,0938;1,0085;-12,2500;-1,5000;30,7500;
0,0160;-0,0117;-0,0938;1,0085;-12,2500;-1,5000;30,7500;
0,0170;-0,0117;-0,0938;1,0085;-12,2500;-1,5000;30,7500;
0,0170;-0,0117;-0,0938;1,0085;-12,2500;-1,5000;30,7500;
0,0460;-0,0117;-0,0938;1,0085;-12,2500;-1,5000;30,7500;
0,0600;-0,0117;-0,0938;1,0085;-12,2500;-1,5000;30,7500;
0,0660;-0,0117;-0,0938;1,0085;-12,2500;-1,5000;30,7500;
0,0780;-0,0117;-0,0938;1,0085;-12,2500;-1,5000;30,7500;
0,0980;-0,0117;-0,0938;1,0085;-12,2500;-1,5000;30,7500;
0,0990;-0,0117;-0,0938;1,0085;-12,2500;-1,5000;30,7500;
0,1150;-0,0117;-0,0938;1,0085;-12,2500;-1,5000;30,7500;
0,1160;-0,0117;-0,0938;1,0085;-12,5000;-1,0000;31,5000;
0,1160;-0,0117;-0,0938;1,0085;-12,5000;-1,0000;31,5000;
0,1250;-0,0117;-0,0938;1,0085;-12,5000;-1,0000;31,5000;
0,1330;-0,0117;-0,0938;1,0085;-12,5000;-1,0000;31,5000;
0,1470;0,0000;-0,0997;0,9870;-12,5000;-1,0000;31,5000;
0,1480;0,0000;-0,0997;0,9870;-12,5000;-1,0000;31,5000;
0,1490;0,0000;-0,0997;0,9870;-12,5000;-1,0000;31,5000;
0,1540;0,0000;-0,0997;0,9870;-12,5000;-1,0000;31,5000;
0,1630;0,0000;-0,0997;0,9870;-12,5000;-1,0000;31,5000;
0,1740;0,0000;-0,0997;0,9870;-12,5000;-1,0000;31,5000;
0,1830;0,0000;-0,0997;0,9870;-12,5000;-1,0000;31,5000;
0,1960;0,0000;-0,0997;0,9870;-12,5000;-1,0000;31,5000;
0,2030;0,0000;-0,0997;0,9870;-12,5000;-1,0000;31,5000;
0,2130;0,0000;-0,0997;0,9870;-12,5000;-1,0000;31,5000;
0,2240;0,0000;-0,0997;0,9870;-12,5000;-1,0000;31,5000;
0,2330;0,0000;-0,0997;0,9870;-12,5000;-1,0000;31,5000;
0,2430;0,0000;-0,0997;0,9870;-12,5000;-1,0000;31,5000;
0,2530;0,0000;-0,0997;0,9870;-12,5000;-1,0000;31,5000;
0,2700;0,0000;-0,0997;0,9870;-12,5000;-1,0000;31,5000;
0,2750;0,0000;-0,0997;0,9870;-12,5000;-1,0000;31,5000;
0,2830;0,0000;-0,0997;0,9870;-12,5000;-1,0000;31,5000;
0,2940;0,0000;-0,0997;0,9870;-12,5000;-1,0000;31,5000;
0,3030;0,0000;-0,0997;0,9870;-12,5000;-1,0000;31,5000;
0,3170;0,0000;-0,0997;0,9870;-12,5000;0,0000;31,0000;
0,3170;0,0000;-0,0997;0,9870;-12,5000;0,0000;31,0000;
0,3320;0,0000;-0,0997;0,9870;-12,5000;0,0000;31,0000;
0,3440;-0,0020;-0,0977;0,9870;-12,5000;0,0000;31,0000;
0,3440;-0,0020;-0,0977;0,9870;-12,5000;0,0000;31,0000;
0,3480;-0,0020;-0,0977;0,9870;-12,5000;0,0000;31,0000;
0,3580;-0,0020;-0,0977;0,9870;-12,5000;0,0000;31,0000;
0,3660;-0,0020;-0,0977;0,9870;-12,5000;0,0000;31,0000;
0,3750;-0,0020;-0,0977;0,9870;-12,5000;0,0000;31,0000;
0,3850;-0,0020;-0,0977;0,9870;-12,5000;0,0000;31,0000;
0,4040;-0,0020;-0,0977;0,9870;-12,5000;0,0000;31,0000;
0,4150;-0,0020;-0,0977;0,9870;-12,5000;0,0000;31,0000;
0,4250;-0,0020;-0,0977;0,9870;-12,5000;0,0000;31,0000;
0,4330;-0,0020;-0,0977;0,9870;-12,5000;0,0000;31,0000;
0,4440;-0,0020;-0,0977;0,9870;-12,5000;0,0000;31,0000;
0,4530;-0,0020;-0,0977;0,9870;-12,5000;0,0000;31,0000;
0,4630;-0,0020;-0,0977;0,9870;-12,5000;0,0000;31,0000;
0,4740;-0,0020;-0,0977;0,9870;-12,5000;0,0000;31,0000;
0,4840;-0,0020;-0,0977;0,9870;-12,5000;0,0000;31,0000;
0,4940;-0,0020;-0,0977;0,9870;-12,5000;0,0000;31,0000;
0,5030;-0,0020;-0,0977;0,9870;-12,5000;0,0000;31,0000;
0,5130;-0,0020;-0,0977;0,9870;-12,5000;0,0000;31,0000;
0,5150;-0,0020;-0,0977;0,9870;-12,7500;-0,5000;31,0000;
0,5230;-0,0020;-0,0977;0,9870;-12,7500;-0,5000;31,0000;
0,5330;-0,0020;-0,0977;0,9870;-12,7500;-0,5000;31,0000;
0,5410;-0,0039;-0,0997;0,9870;-12,7500;-0,5000;31,0000;
0,5420;-0,0039;-0,0997;0,9870;-12,7500;-0,5000;31,0000;
0,5440;-0,0039;-0,0997;0,9870;-12,7500;-0,5000;31,0000;
0,5530;-0,0039;-0,0997;0,9870;-12,7500;-0,5000;31,0000;
0,5630;-0,0039;-0,0997;0,9870;-12,7500;-0,5000;31,0000;
0,5730;-0,0039;-0,0997;0,9870;-12,7500;-0,5000;31,0000;
0,5840;-0,0039;-0,0997;0,9870;-12,7500;-0,5000;31,0000;
0,5930;-0,0039;-0,0997;0,9870;-12,7500;-0,5000;31,0000;
0,6030;-0,0039;-0,0997;0,9870;-12,7500;-0,5000;31,0000;
0,6130;-0,0039;-0,0997;0,9870;-12,7500;-0,5000;31,0000;
0,6230;-0,0039;-0,0997;0,9870;-12,7500;-0,5000;31,0000;
0,6330;-0,0039;-0,0997;0,9870;-12,7500;-0,5000;31,0000;
0,6430;-0,0039;-0,0997;0,9870;-12,7500;-0,5000;31,0000;
0,6570;-0,0039;-0,0997;0,9870;-12,7500;-0,5000;31,0000;
0,6640;-0,0039;-0,0997;0,9870;-12,7500;-0,5000;31,0000;
0,6730;-0,0039;-0,0997;0,9870;-12,7500;-0,5000;31,0000;
0,6920;-0,0039;-0,0997;0,9870;-12,7500;-0,5000;31,0000;
0,6940;-0,0039;-0,0997;0,9870;-12,7500;-0,5000;31,0000;
0,7030;-0,0039;-0,0997;0,9870;-12,7500;-0,5000;31,0000;
0,7130;-0,0039;-0,0997;0,9870;-12,7500;-0,5000;31,0000;
0,7150;-0,0039;-0,0997;0,9870;-12,5000;-1,0000;31,5000;
0,7230;-0,0039;-0,0997;0,9870;-12,5000;-1,0000;31,5000;
0,7330;-0,0039;-0,0997;0,9870;-12,5000;-1,0000;31,5000;
0,7410;-0,0078;-0,1075;0,9890;-12,5000;-1,0000;31,5000;
0,7420;-0,0078;-0,1075;0,9890;-12,5000;-1,0000;31,5000;
0,7440;-0,0078;-0,1075;0,9890;-12,5000;-1,0000;31,5000;
0,7550;-0,0078;-0,1075;0,9890;-12,5000;-1,0000;31,5000;
0,7630;-0,0078;-0,1075;0,9890;-12,5000;-1,0000;31,5000;
0,7740;-0,0078;-0,1075;0,9890;-12,5000;-1,0000;31,5000;
0,7830;-0,0078;-0,1075;0,9890;-12,5000;-1,0000;31,5000;
0,7930;-0,0078;-0,1075;0,9890;-12,5000;-1,0000;31,5000;
0,8030;-0,0078;-0,1075;0,9890;-12,5000;-1,0000;31,5000;
0,8130;-0,0078;-0,1075;0,9890;-12,5000;-1,0000;31,5000;
0,8230;-0,0078;-0,1075;0,9890;-12,5000;-1,0000;31,5000;
0,8330;-0,0078;-0,1075;0,9890;-12,5000;-1,0000;31,5000;
0,8430;-0,0078;-0,1075;0,9890;-12,5000;-1,0000;31,5000;
0,8530;-0,0078;-0,1075;0,9890;-12,5000;-1,0000;31,5000;
0,8630;-0,0078;-0,1075;0,9890;-12,5000;-1,0000;31,5000;
0,8730;-0,0078;-0,1075;0,9890;-12,5000;-1,0000;31,5000;
0,8830;-0,0078;-0,1075;0,9890;-12,5000;-1,0000;31,5000;
0,8930;-0,0078;-0,1075;0,9890;-12,5000;-1,0000;31,5000;
0,9030;-0,0078;-0,1075;0,9890;-12,5000;-1,0000;31,5000;
0,9140;-0,0078;-0,1075;0,9890;-12,5000;-1,0000;31,5000;
0,9170;-0,0078;-0,1075;0,9890;-12,2500;0,0000;31,2500;
0,9260;-0,0078;-0,1075;0,9890;-12,2500;0,0000;31,2500;
0,9360;-0,0078;-0,1075;0,9890;-12,2500;0,0000;31,2500;
0,9420;-0,0039;-0,0997;0,9850;-12,2500;0,0000;31,2500;
0,9460;-0,0039;-0,0997;0,9850;-12,2500;0,0000;31,2500;
0,9470;-0,0039;-0,0997;0,9850;-12,2500;0,0000;31,2500;
0,9540;-0,0039;-0,0997;0,9850;-12,2500;0,0000;31,2500;
0,9640;-0,0039;-0,0997;0,9850;-12,2500;0,0000;31,2500;
0,9770;-0,0039;-0,0997;0,9850;-12,2500;0,0000;31,2500;
0,9910;-0,0039;-0,0997;0,9850;-12,2500;0,0000;31,2500;
0,9950;-0,0039;-0,0997;0,9850;-12,2500;0,0000;31,2500;
1,0030;-0,0039;-0,0997;0,9850;-12,2500;0,0000;31,2500;
1,0130;-0,0039;-0,0997;0,9850;-12,2500;0,0000;31,2500;
1,0230;-0,0039;-0,0997;0,9850;-12,2500;0,0000;31,2500;
1,0330;-0,0039;-0,0997;0,9850;-12,2500;0,0000;31,2500;
1,0430;-0,0039;-0,0997;0,9850;-12,2500;0,0000;31,2500;
1,0530;-0,0039;-0,0997;0,9850;-12,2500;0,0000;31,2500;
1,0630;-0,0039;-0,0997;0,9850;-12,2500;0,0000;31,2500;
1,0730;-0,0039;-0,0997;0,9850;-12,2500;0,0000;31,2500;
1,0830;-0,0039;-0,0997;0,9850;-12,2500;0,0000;31,2500;
1,0930;-0,0039;-0,0997;0,9850;-12,2500;0,0000;31,2500;
1,1030;-0,0039;-0,0997;0,9850;-12,2500;0,0000;31,2500;
1,1130;-0,0039;-0,0997;0,9850;-12,2500;0,0000;31,2500;
1,1310;-0,0039;-0,0997;0,9850;-12,2500;0,0000;30,5000;
1,1330;-0,0039;-0,0997;0,9850;-12,2500;0,0000;30,5000;
1,1340;-0,0039;-0,0997;0,9850;-12,2500;0,0000;30,5000;
1,1420;-0,0020;-0,1094;0,9850;-12,2500;0,0000;30,5000;
1,1430;-0,0020;-0,1094;0,9850;-12,2500;0,0000;30,5000;
1,1440;-0,0020;-0,1094;0,9850;-12,2500;0,0000;30,5000;
1,1530;-0,0020;-0,1094;0,9850;-12,2500;0,0000;30,5000;
1,1630;-0,0020;-0,1094;0,9850;-12,2500;0,0000;30,5000;
1,1730;-0,0020;-0,1094;0,9850;-12,2500;0,0000;30,5000;
1,1830;-0,0020;-0,1094;0,9850;-12,2500;0,0000;30,5000;
1,1940;-0,0020;-0,1094;0,9850;-12,2500;0,0000;30,5000;
1,2030;-0,0020;-0,1094;0,9850;-12,2500;0,0000;30,5000;
1,2130;-0,0020;-0,1094;0,9850;-12,2500;0,0000;30,5000;
1,2230;-0,0020;-0,1094;0,9850;-12,2500;0,0000;30,5000;
1,2330;-0,0020;-0,1094;0,9850;-12,2500;0,0000;30,5000;
1,2430;-0,0020;-0,1094;0,9850;-12,2500;0,0000;30,5000;
1,2530;-0,0020;-0,1094;0,9850;-12,2500;0,0000;30,5000;
1,2630;-0,0020;-0,1094;0,9850;-12,2500;0,0000;30,5000;
