time;x;y;z;MF
0,011;-43,75;-4,00;-65,75;79,08
0,020;-43,75;-4,50;-65,75;79,10
0,066;-44,25;-4,50;-66,00;79,59
0,165;-44,00;-5,00;-67,00;80,31
0,216;-44,50;-4,50;-67,50;80,97
0,266;-44,25;-5,00;-67,25;80,66
0,366;-44,25;-5,25;-67,00;80,47
0,416;-44,25;-5,25;-67,00;80,47
0,467;-43,50;-5,00;-66,75;79,83
0,516;-43,25;-4,50;-66,75;79,66
0,567;-43,00;-4,75;-66,75;79,54
0,617;-43,50;-5,25;-66,50;79,64
0,667;-43,25;-4,75;-66,50;79,47
0,717;-43,25;-4,75;-66,00;79,05
0,767;-43,75;-5,00;-66,25;79,55
0,816;-43,75;-5,00;-66,25;79,55
0,867;-43,75;-5,00;-66,25;79,55
0,924;-43,75;-5,00;-66,25;79,55
0,967;-43,75;-5,00;-66,25;79,55
1,016;-43,75;-5,00;-66,25;79,55
1,067;-43,75;-5,00;-66,25;79,55
1,117;-43,75;-5,00;-66,25;79,55
1,166;-43,75;-5,00;-66,25;79,55
1,216;-43,75;-5,75;-66,25;79,60
1,268;-43,50;-5,50;-66,75;79,86
1,330;-43,25;-5,50;-66,75;79,73
1,367;-44,00;-6,00;-67,00;80,38
1,421;-43,50;-5,25;-67,00;80,06
1,470;-44,00;-5,00;-67,00;80,31
1,520;-44,50;-5,50;-66,50;80,20
1,570;-44,00;-5,75;-66,00;79,53
1,624;-43,50;-5,50;-66,00;79,24
1,720;-44,00;-5,00;-67,00;80,31
1,770;-44,00;-5,00;-67,00;80,31
1,826;-44,00;-5,00;-67,00;80,31
1,920;-44,00;-5,00;-67,00;80,31
1,972;-44,00;-5,00;-67,00;80,31
2,025;-44,00;-5,00;-67,00;80,31
2,122;-44,00;-5,00;-67,00;80,31
2,171;-44,00;-5,00;-67,00;80,31
2,222;-44,00;-5,00;-67,00;80,31
2,272;-44,00;-5,00;-67,00;80,31
2,327;-44,00;-5,00;-67,00;80,31
2,373;-44,00;-5,00;-67,00;80,31
2,425;-44,00;-5,00;-67,00;80,31
2,475;-44,00;-5,00;-67,00;80,31
2,525;-44,00;-5,00;-67,00;80,31
2,575;-44,00;-5,00;-67,00;80,31
2,625;-44,00;-5,00;-67,00;80,31
2,676;-44,00;-5,00;-67,00;80,31
2,727;-44,00;-5,00;-67,00;80,31
2,775;-44,00;-5,00;-67,00;80,31
2,825;-44,00;-5,00;-67,00;80,31
2,877;-44,00;-5,00;-67,00;80,31
2,927;-44,25;-5,00;-66,00;79,62
2,977;-44,00;-4,75;-66,00;79,46
3,027;-44,00;-5,25;-66,00;79,50
3,078;-43,50;-5,25;-65,75;79,01
3,127;-44,00;-5,50;-66,00;79,51
3,178;-44,25;-5,00;-66,25;79,83
3,228;-44,00;-5,00;-65,75;79,27
3,278;-43,75;-5,50;-66,00;79,37
3,328;-43,75;-5,50;-66,00;79,37
3,379;-43,75;-5,50;-66,00;79,37
3,480;-43,75;-5,50;-66,00;79,37
3,530;-43,75;-5,50;-66,00;79,37
3,579;-43,75;-5,50;-66,00;79,37
3,630;-43,75;-5,50;-66,00;79,37
3,680;-43,75;-5,50;-66,00;79,37
3,730;-43,75;-5,50;-66,00;79,37
3,780;-43,75;-5,50;-66,00;79,37
3,829;-43,75;-5,50;-66,00;79,37
3,881;-43,75;-5,50;-66,00;79,37
3,930;-43,75;-5,50;-66,00;79,37
3,979;-43,75;-5,50;-66,00;79,37
4,029;-43,75;-5,50;-66,00;79,37
4,081;-44,25;-5,00;-66,75;80,24
4,180;-43,50;-4,00;-66,25;79,36
4,231;-44,00;-4,50;-66,25;79,66
4,281;-44,25;-4,50;-66,25;79,80
4,381;-43,25;-5,00;-66,50;79,48
4,431;-43,25;-5,00;-66,50;79,48
4,481;-43,25;-4,50;-66,50;79,45
4,531;-43,25;-4,50;-66,50;79,45
4,580;-44,00;-4,75;-66,75;80,09
4,630;-43,75;-4,25;-66,75;79,92
4,682;-43,00;-4,25;-66,75;79,51
4,781;-43,50;-5,00;-66,25;79,41
4,831;-43,75;-5,50;-65,75;79,17
4,881;-43,75;-5,50;-65,75;79,17
4,931;-43,75;-5,00;-66,00;79,34
4,982;-44,25;-5,00;-66,25;79,83
5,031;-44,00;-4,75;-66,75;80,09
5,082;-44,00;-4,50;-66,50;79,87
5,132;-44,00;-4,50;-66,50;79,87
5,183;-44,75;-5,25;-66,25;80,12
5,233;-45,50;-5,00;-66,00;80,32
5,284;-45,50;-4,75;-66,25;80,51
5,341;-45,25;-5,00;-66,50;80,59
5,432;-44,75;-5,50;-66,50;80,34
5,482;-44,50;-5,50;-66,25;80,00
5,532;-44,75;-5,00;-66,50;80,31
5,581;-44,75;-5,00;-67,00;80,73
5,632;-44,25;-4,75;-66,75;80,23
5,684;-44,25;-4,75;-66,75;80,23
5,740;-44,25;-4,75;-66,75;80,23
5,782;-44,25;-4,75;-66,75;80,23
5,833;-44,25;-4,75;-66,75;80,23
5,883;-44,25;-4,75;-66,75;80,23
5,933;-44,25;-4,75;-66,75;80,23
5,984;-44,25;-4,75;-66,75;80,23
6,042;-44,25;-4,75;-66,75;80,23
6,085;-44,75;-5,75;-66,50;80,36
6,142;-43,50;-6,00;-66,25;79,48
6,234;-43,75;-4,50;-66,00;79,31
6,285;-44,25;-4,75;-66,50;80,02
6,343;-44,00;-5,25;-66,75;80,12
6,383;-43,75;-5,25;-67,00;80,19
6,434;-43,75;-5,25;-67,00;80,19
6,484;-43,75;-5,25;-67,25;80,40
6,537;-43,25;-5,50;-67,25;80,15
6,634;-43,75;-5,25;-67,00;80,19
6,684;-43,75;-5,25;-67,00;80,19
6,735;-43,75;-5,25;-67,00;80,19
6,784;-43,75;-5,25;-67,00;80,19
6,834;-43,75;-5,25;-67,00;80,19
6,884;-45,00;-5,25;-66,25;80,26
6,934;-47,50;-5,25;-65,50;81,08
6,984;-71,00;-17,50;-55,50;91,80
7,035;-491,25;36,75;-153,00;515,84
7,085;-317,00;16,75;-116,00;337,97
7,136;-171,50;3,75;-87,75;192,68
7,184;-98,00;-1,50;-74,00;122,81
7,236;-66,00;-4,00;-68,25;95,03
7,284;-51,25;-4,00;-67,25;84,65
7,337;-45,00;-4,25;-65,75;79,79
7,384;-42,25;-4,00;-65,25;77,84
7,434;-42,25;-4,00;-65,25;77,84
7,484;-42,00;-4,50;-65,00;77,52
7,536;-41,00;-4,00;-65,50;77,38
7,585;-40,75;-4,00;-65,25;77,03
7,646;-40,75;-4,00;-65,25;77,03
7,736;-41,75;-3,75;-65,00;77,34
7,786;-41,75;-4,00;-64,75;77,15
7,838;-41,75;-4,25;-65,25;77,58
7,887;-41,75;-3,50;-65,25;77,54
7,986;-41,25;-3,75;-65,50;77,50
8,039;-41,75;-3,75;-65,25;77,55
8,087;-41,75;-4,25;-65,50;77,79
8,139;-41,75;-4,25;-65,50;77,79
8,237;-32,75;-8,50;-56,75;66,07
8,288;45,25;-6,75;370,00;372,82
8,340;65,00;-37,75;183,00;197,84
8,437;-13,25;-17,75;-17,25;28,07
8,489;-29,75;-11,25;-45,50;55,51
8,544;-37,50;-8,50;-58,00;69,59
8,640;-41,75;-6,00;-65,00;77,49
8,692;-42,75;-5,50;-65,75;78,62
8,743;-42,50;-4,75;-65,75;78,43
8,791;-42,50;-4,25;-66,50;79,04
8,841;-42,25;-5,00;-66,25;78,73
8,893;-43,00;-4,75;-66,25;79,12
8,942;-43,00;-4,25;-65,75;78,68
8,991;-43,00;-5,00;-65,75;78,72
9,042;-43,25;-5,00;-65,75;78,86
9,093;-42,75;-4,00;-65,75;78,53
9,144;-42,75;-3,75;-65,50;78,31
9,193;-43,25;-4,00;-66,25;79,22
9,243;-43,50;-3,75;-66,25;79,34
9,294;-43,50;-3,75;-66,25;79,34
9,342;-43,75;-3,50;-65,75;79,05
9,393;-44,00;-3,50;-65,00;78,57
9,443;-45,50;-4,25;-64,50;79,05
9,494;-50,75;-7,00;-62,50;80,81
9,549;-143,00;-147,75;-112,75;234,50
9,594;-194,00;-103,25;-76,00;232,54
9,644;-129,00;-57,75;-64,50;155,36
9,695;-81,75;-30,00;-63,00;107,48
9,745;-59,00;-16,25;-63,25;88,01
9,793;-49,50;-10,00;-63,50;81,13
9,843;-45,50;-7,00;-64,50;79,24
9,894;-43,50;-5,50;-64,50;77,99
9,945;-43,00;-5,00;-64,25;77,47
10,044;-41,75;-5,00;-64,00;76,58
10,095;-41,75;-4,25;-63,75;76,32
10,144;-42,50;-4,25;-64,25;77,15
10,193;-42,75;-4,50;-64,25;77,30
10,245;-42,25;-4,25;-64,50;77,22
10,296;-42,25;-3,75;-64,50;77,20
10,358;-42,50;-4,25;-64,50;77,36
10,445;-42,25;-3,50;-65,25;77,81
10,496;-42,00;-3,50;-64,75;77,26
10,546;-42,00;-4,25;-64,75;77,30
10,596;-41,25;-4,00;-64,75;76,88
10,646;-40,50;-3,75;-64,25;76,04
10,697;-40,00;-4,25;-63,50;75,17
10,747;-36,50;-9,50;-59,50;70,45
10,798;-21,25;-50,75;12,25;56,37
10,848;316,00;-27,00;-314,25;446,47
10,899;184,50;-34,75;-224,75;292,85
10,948;66,75;-24,75;-141,00;157,95
10,997;5,25;-15,25;-97,50;98,82
11,048;-22,00;-10,00;-78,50;82,14
11,098;-34,75;-7,25;-71,00;79,38
11,148;-39,50;-6,00;-67,75;78,65
11,198;-41,50;-4,75;-66,50;78,53
11,248;-42,75;-4,50;-66,00;78,76
11,300;-43,00;-4,00;-65,75;78,66
11,348;-42,75;-4,00;-65,75;78,53
11,398;-42,50;-4,00;-65,00;77,76
11,500;-42,00;-4,00;-65,25;77,70
11,599;-42,50;-3,75;-65,00;77,75
11,650;-43,00;-4,00;-65,75;78,66
11,700;-42,25;-4,50;-65,50;78,07
11,750;-42,75;-4,25;-65,75;78,54
11,801;-43,50;-4,00;-65,50;78,73
11,850;-43,25;-4,25;-65,75;78,81
11,902;-43,50;-4,25;-65,50;78,74
11,956;-44,00;-4,50;-65,75;79,24
12,003;-47,75;-7,75;-64,25;80,43
12,057;-68,50;-57,75;-75,25;117,00
12,105;-541,25;79,50;-84,75;553,58
12,157;-348,25;36,50;-67,50;356,60
12,203;-186,25;9,25;-62,25;196,60
12,257;-103,75;-0,75;-62,50;121,12
12,306;-67,50;-4,00;-63,75;92,93
12,360;-52,00;-4,75;-64,50;82,99
12,404;-45,50;-4,50;-64,75;79,27
12,506;-43,50;-4,00;-65,25;78,52
12,556;-42,50;-4,25;-64,75;77,57
12,606;-42,25;-4,75;-64,75;77,46
12,660;-42,50;-4,00;-65,00;77,76
12,711;-42,00;-4,00;-65,50;77,91
12,763;-42,00;-4,25;-65,00;77,51
12,861;-43,00;-4,25;-65,25;78,26
12,911;-42,25;-3,75;-64,75;77,41
12,964;-42,25;-3,75;-64,75;77,41
13,015;-42,00;-4,00;-64,75;77,28
13,064;-42,25;-4,75;-64,75;77,46
13,114;-43,00;-5,00;-64,75;77,89
13,164;-42,25;-5,50;-64,50;77,30
13,214;-40,75;-6,75;-63,00;75,33
13,264;-38,00;-13,75;-57,75;70,48
13,314;-47,00;-56,75;10,75;74,47
13,364;243,75;-13,50;-450,25;512,17
13,464;130,00;-10,75;-302,25;329,20
