
time;gfx;gFy;gFz;Bx;By;Bz;
0,7090;0,0059;-0,1075;0,9890;13,5000;-0,5000;35,5000;
0,7190;0,0059;-0,1075;0,9890;13,5000;-0,5000;35,5000;
0,7290;0,0059;-0,1075;0,9890;13,5000;-0,5000;35,5000;
0,7390;0,0059;-0,1075;0,9890;13,5000;-0,5000;35,5000;
0,7490;0,0059;-0,1075;0,9890;13,5000;-0,5000;35,5000;
0,7590;0,0059;-0,1075;0,9890;13,5000;-0,5000;35,5000;
0,7790;0,0059;-0,1075;0,9890;13,5000;-0,5000;35,5000;
0,7790;0,0059;-0,1075;0,9890;13,5000;-0,5000;35,5000;
0,7940;0,0059;-0,1075;0,9890;13,5000;-0,5000;35,5000;
0,8050;0,0059;-0,1075;0,9890;13,5000;-0,5000;35,5000;
0,8180;0,0059;-0,1075;0,9890;13,5000;-0,5000;35,5000;
0,8340;0,0059;-0,1075;0,9890;13,5000;-0,5000;35,5000;
0,8440;0,0059;-0,1075;0,9890;13,5000;-0,5000;35,5000;
0,8520;0,0059;-0,1075;0,9890;13,5000;-0,5000;35,5000;
0,8570;0,0059;-0,1075;0,9890;13,7500;-0,2500;36,2500;
0,8610;0,0059;-0,1075;0,9890;13,7500;-0,2500;36,2500;
0,8730;0,0059;-0,1075;0,9890;13,7500;-0,2500;36,2500;
0,8860;0,0059;-0,1075;0,9890;13,7500;-0,2500;36,2500;
0,8890;0,0078;-0,0938;0,9870;13,7500;-0,2500;36,2500;
0,8900;0,0078;-0,0938;0,9870;13,7500;-0,2500;36,2500;
0,9000;0,0078;-0,0938;0,9870;13,7500;-0,2500;36,2500;
0,9170;0,0078;-0,0938;0,9870;13,7500;-0,2500;36,2500;
0,9330;0,0078;-0,0938;0,9870;13,7500;-0,2500;36,2500;
0,9410;0,0078;-0,0938;0,9870;13,7500;-0,2500;36,2500;
0,9520;0,0078;-0,0938;0,9870;13,7500;-0,2500;36,2500;
0,9610;0,0078;-0,0938;0,9870;13,7500;-0,2500;36,2500;
0,9750;0,0078;-0,0938;0,9870;13,7500;-0,2500;36,2500;
0,9880;0,0078;-0,0938;0,9870;13,7500;-0,2500;36,2500;
1,0060;0,0078;-0,0938;0,9870;13,7500;-0,2500;36,2500;
1,0240;0,0078;-0,0938;0,9870;13,7500;-0,2500;36,2500;
1,0340;0,0078;-0,0938;0,9870;13,7500;-0,2500;36,2500;
1,0480;0,0078;-0,0938;0,9870;13,7500;-0,2500;36,2500;
1,0590;0,0078;-0,0938;0,9870;14,0000;-0,2500;36,2500;
1,0710;0,0078;-0,0938;0,9870;14,0000;-0,2500;36,2500;
1,0850;0,0078;-0,0938;0,9870;14,0000;-0,2500;36,2500;
1,0880;0,0078;-0,1036;0,9870;14,0000;-0,2500;36,2500;
1,0890;0,0078;-0,1036;0,9870;14,0000;-0,2500;36,2500;
1,0970;0,0078;-0,1036;0,9870;14,0000;-0,2500;36,2500;
1,1190;0,0078;-0,1036;0,9870;14,0000;-0,2500;36,2500;
1,1320;0,0078;-0,1036;0,9870;14,0000;-0,2500;36,2500;
1,1460;0,0078;-0,1036;0,9870;14,0000;-0,2500;36,2500;
1,1570;0,0078;-0,1036;0,9870;14,0000;-0,2500;36,2500;
1,1730;0,0078;-0,1036;0,9870;14,0000;-0,2500;36,2500;
1,1800;0,0078;-0,1036;0,9870;14,0000;-0,2500;36,2500;
1,1920;0,0078;-0,1036;0,9870;14,0000;-0,2500;36,2500;
1,2060;0,0078;-0,1036;0,9870;14,0000;-0,2500;36,2500;
1,2280;0,0078;-0,1036;0,9870;14,0000;-0,2500;36,2500;
1,2470;0,0078;-0,1036;0,9870;14,0000;-0,2500;36,2500;
1,2580;0,0078;-0,1036;0,9870;13,5000;-0,2500;36,0000;
1,2700;0,0078;-0,1036;0,9870;13,5000;-0,2500;36,0000;
1,2800;0,0078;-0,1036;0,9870;13,5000;-0,2500;36,0000;
1,2870;0,0078;-0,0899;0,9890;13,5000;-0,2500;36,0000;
1,2880;0,0078;-0,0899;0,9890;13,5000;-0,2500;36,0000;
1,2920;0,0078;-0,0899;0,9890;13,5000;-0,2500;36,0000;
1,3000;0,0078;-0,0899;0,9890;13,5000;-0,2500;36,0000;
1,3100;0,0078;-0,0899;0,9890;13,5000;-0,2500;36,0000;
1,3280;0,0078;-0,0899;0,9890;13,5000;-0,2500;36,0000;
1,3390;0,0078;-0,0899;0,9890;13,5000;-0,2500;36,0000;
1,3490;0,0078;-0,0899;0,9890;13,5000;-0,2500;36,0000;
1,3600;0,0078;-0,0899;0,9890;13,5000;-0,2500;36,0000;
1,3690;0,0078;-0,0899;0,9890;13,5000;-0,2500;36,0000;
1,3790;0,0078;-0,0899;0,9890;13,5000;-0,2500;36,0000;
1,3890;0,0078;-0,0899;0,9890;13,5000;-0,2500;36,0000;
1,3990;0,0078;-0,0899;0,9890;13,5000;-0,2500;36,0000;
1,4120;0,0078;-0,0899;0,9890;13,5000;-0,2500;36,0000;
1,4190;0,0078;-0,0899;0,9890;13,5000;-0,2500;36,0000;
1,4300;0,0078;-0,0899;0,9890;13,5000;-0,2500;36,0000;
1,4390;0,0078;-0,0899;0,9890;13,5000;-0,2500;36,0000;
1,4490;0,0078;-0,0899;0,9890;13,5000;-0,2500;36,0000;
1,4590;0,0078;-0,0899;0,9890;13,7500;-1,0000;35,0000;
1,4710;0,0078;-0,0899;0,9890;13,7500;-1,0000;35,0000;
1,4790;0,0078;-0,0899;0,9890;13,7500;-1,0000;35,0000;
1,4870;0,0059;-0,1075;0,9890;13,7500;-1,0000;35,0000;
1,4880;0,0059;-0,1075;0,9890;13,7500;-1,0000;35,0000;
1,4900;0,0059;-0,1075;0,9890;13,7500;-1,0000;35,0000;
1,4990;0,0059;-0,1075;0,9890;13,7500;-1,0000;35,0000;
1,5110;0,0059;-0,1075;0,9890;13,7500;-1,0000;35,0000;
1,5190;0,0059;-0,1075;0,9890;13,7500;-1,0000;35,0000;
1,5290;0,0059;-0,1075;0,9890;13,7500;-1,0000;35,0000;
1,5390;0,0059;-0,1075;0,9890;13,7500;-1,0000;35,0000;
1,5490;0,0059;-0,1075;0,9890;13,7500;-1,0000;35,0000;
1,5610;0,0059;-0,1075;0,9890;13,7500;-1,0000;35,0000;
1,5700;0,0059;-0,1075;0,9890;13,7500;-1,0000;35,0000;
1,5790;0,0059;-0,1075;0,9890;13,7500;-1,0000;35,0000;
1,5890;0,0059;-0,1075;0,9890;13,7500;-1,0000;35,0000;
1,5990;0,0059;-0,1075;0,9890;13,7500;-1,0000;35,0000;
1,6090;0,0059;-0,1075;0,9890;13,7500;-1,0000;35,0000;
1,6190;0,0059;-0,1075;0,9890;13,7500;-1,0000;35,0000;
1,6290;0,0059;-0,1075;0,9890;13,7500;-1,0000;35,0000;
1,6390;0,0059;-0,1075;0,9890;13,7500;-1,0000;35,0000;
1,6490;0,0059;-0,1075;0,9890;13,7500;-1,0000;35,0000;
1,6590;0,0059;-0,1075;0,9890;13,7500;-1,0000;35,0000;
1,6610;0,0059;-0,1075;0,9890;12,7500;-1,0000;35,7500;
1,6740;0,0059;-0,1075;0,9890;12,7500;-1,0000;35,7500;
1,6860;0,0059;-0,1075;0,9890;12,7500;-1,0000;35,7500;
1,6890;0,0078;-0,0977;0,9870;12,7500;-1,0000;35,7500;
1,6900;0,0078;-0,0977;0,9870;12,7500;-1,0000;35,7500;
1,6910;0,0078;-0,0977;0,9870;12,7500;-1,0000;35,7500;
1,7050;0,0078;-0,0977;0,9870;12,7500;-1,0000;35,7500;
1,7170;0,0078;-0,0977;0,9870;12,7500;-1,0000;35,7500;
1,7350;0,0078;-0,0977;0,9870;12,7500;-1,0000;35,7500;
1,7490;0,0078;-0,0977;0,9870;12,7500;-1,0000;35,7500;
1,7660;0,0078;-0,0977;0,9870;12,7500;-1,0000;35,7500;
1,7800;0,0078;-0,0977;0,9870;12,7500;-1,0000;35,7500;
1,7960;0,0078;-0,0977;0,9870;12,7500;-1,0000;35,7500;
1,8000;0,0078;-0,0977;0,9870;12,7500;-1,0000;35,7500;
1,8140;0,0078;-0,0977;0,9870;12,7500;-1,0000;35,7500;
1,8190;0,0078;-0,0977;0,9870;12,7500;-1,0000;35,7500;
1,8440;0,0078;-0,0977;0,9870;12,7500;-1,0000;35,7500;
1,8490;0,0078;-0,0977;0,9870;12,7500;-1,0000;35,7500;
1,8590;0,0078;-0,0977;0,9870;12,7500;-1,0000;35,7500;
1,8640;0,0078;-0,0977;0,9870;13,2500;-1,0000;35,5000;
1,8700;0,0078;-0,0977;0,9870;13,2500;-1,0000;35,5000;
1,8790;0,0078;-0,0977;0,9870;13,2500;-1,0000;35,5000;
1,8880;0,0059;-0,0958;0,9870;13,2500;-1,0000;35,5000;
1,8880;0,0059;-0,0958;0,9870;13,2500;-1,0000;35,5000;
1,8910;0,0059;-0,0958;0,9870;13,2500;-1,0000;35,5000;
1,8990;0,0059;-0,0958;0,9870;13,2500;-1,0000;35,5000;
1,9090;0,0059;-0,0958;0,9870;13,2500;-1,0000;35,5000;
1,9190;0,0059;-0,0958;0,9870;13,2500;-1,0000;35,5000;
1,9290;0,0059;-0,0958;0,9870;13,2500;-1,0000;35,5000;
