time;x;y;z;MF
7,987;4,00;-69,75;-70,00;98,90
8,037;-21,00;-36,00;-64,50;76,79
8,087;-33,75;-19,25;-64,00;74,87
8,137;-39,75;-11,50;-65,50;77,48
8,187;-39,75;-11,50;-65,50;77,48
8,237;-41,75;-7,50;-65,75;78,25
8,286;-42,75;-6,00;-65,50;78,45
8,338;-43,50;-5,00;-66,00;79,20
8,388;-43,50;-5,00;-66,75;79,83
8,438;-43,50;-5,25;-66,50;79,64
8,488;-44,00;-4,75;-66,50;79,88
8,538;-43,75;-4,50;-66,00;79,31
8,588;-43,75;-4,50;-66,00;79,31
8,640;-43,75;-5,00;-66,00;79,34
8,691;-43,75;-5,25;-66,25;79,57
8,744;-43,25;-5,00;-66,00;79,07
8,792;-43,25;-5,00;-66,00;79,07
8,842;-44,00;-5,00;-66,00;79,48
8,942;-43,25;-6,00;-66,00;79,14
8,992;-43,75;-6,25;-65,75;79,22
9,044;-43,75;-7,00;-65,00;78,66
9,091;-43,00;-11,00;-62,00;76,25
9,143;-53,25;-40,00;-16,25;68,55
9,193;-53,25;-40,00;-16,25;68,55
9,244;-41,50;-40,25;-38,00;69,18
9,293;-40,00;-26,50;-53,50;71,86
9,346;-41,25;-16,00;-61,25;75,56
9,394;-42,50;-9,75;-64,25;77,65
9,448;-43,00;-7,25;-66,00;79,10
9,546;-44,25;-5,75;-66,00;79,67
9,594;-44,00;-5,25;-66,00;79,50
9,647;-44,00;-5,00;-66,00;79,48
9,696;-43,75;-5,00;-66,25;79,55
9,746;-44,00;-5,50;-66,75;80,14
9,796;-43,50;-5,50;-67,00;80,07
9,851;-43,50;-5,00;-66,50;79,62
9,900;-43,50;-5,00;-66,50;79,62
9,951;-43,50;-5,00;-66,50;79,62
10,000;-43,50;-5,00;-66,50;79,62
10,049;-43,50;-5,00;-66,50;79,62
10,100;-43,50;-5,00;-66,50;79,62
10,151;-43,50;-5,00;-66,50;79,62
10,201;-43,50;-5,00;-66,50;79,62
10,252;-43,50;-5,00;-66,50;79,62
10,352;-39,50;-6,75;-66,00;77,21
10,402;-13,75;-20,75;-72,00;76,18
10,452;199,75;572,25;151,50;624,76
10,501;116,25;328,50;81,00;357,75
10,553;35,75;146,00;7,00;150,48
10,603;-7,75;58,25;-33,25;67,52
10,653;-28,50;20,50;-51,75;62,53
10,703;-37,00;5,00;-59,75;70,46
10,755;-41,50;-1,25;-63,25;75,66
10,804;-43,25;-3,25;-64,75;77,93
10,853;-43,25;-4,25;-65,50;78,61
10,904;-43,25;-4,50;-65,75;78,83
10,956;-44,25;-4,25;-65,75;79,37
11,005;-44,00;-4,00;-65,50;79,01
11,054;-43,75;-4,50;-65,75;79,10
11,105;-44,25;-4,75;-66,25;79,81
11,155;-44,25;-4,75;-66,25;79,81
11,205;-44,25;-5,00;-66,75;80,24
11,255;-44,00;-5,25;-66,50;79,91
11,304;-44,25;-5,75;-66,75;80,29
11,356;-43,75;-5,00;-66,00;79,34
11,405;-43,75;-5,00;-66,00;79,34
11,454;-43,75;-5,00;-66,00;79,34
11,504;-43,50;-5,75;-66,50;79,67
11,557;-43,00;-7,25;-65,50;78,69
11,604;-41,25;-10,75;-62,75;75,86
11,655;-39,00;-27,75;-42,00;63,68
11,705;-220,25;313,00;-89,25;392,99
11,756;-101,25;148,00;-95,75;203,28
11,805;-58,50;56,50;-82,25;115,67
11,856;-45,75;17,50;-74,00;88,74
11,906;-42,25;3,25;-70,00;81,83
11,965;-42,00;-1,75;-68,25;80,16
12,006;-42,00;-4,25;-66,50;78,77
12,055;-43,50;-4,75;-66,25;79,40
12,106;-43,75;-5,00;-66,50;79,76
12,163;-43,75;-5,00;-66,50;79,76
12,257;-44,00;-5,75;-67,25;80,57
12,305;-43,25;-5,50;-68,00;80,78
12,366;-42,25;-5,00;-67,00;79,37
12,406;-42,00;-5,50;-66,50;78,84
12,461;-43,25;-5,50;-66,75;79,73
12,510;-43,00;-5,25;-66,25;79,16
12,562;-44,00;-4,00;-66,25;79,63
12,611;-44,00;-3,75;-66,50;79,83
12,662;-43,50;-4,00;-66,50;79,56
12,711;-43,75;-4,00;-66,50;79,70
12,763;-44,25;-4,50;-66,50;80,00
12,862;-40,50;-4,75;-66,50;78,01
12,912;-26,00;-9,50;-66,25;71,80
12,963;269,00;80,50;-281,75;397,77
13,063;71,00;-2,75;-90,50;115,06
13,113;7,75;-8,25;-73,25;74,12
13,164;7,75;-8,25;-73,25;74,12
13,212;-21,25;-7,75;-67,75;71,43
13,263;-34,00;-6,25;-66,00;74,51
13,313;-40,25;-5,75;-66,00;77,52
13,363;-42,00;-5,00;-66,50;78,81
13,412;-43,00;-5,25;-65,75;78,74
13,462;-43,75;-5,50;-65,75;79,17
13,513;-44,50;-6,25;-66,00;79,85
13,563;-43,50;-5,75;-66,75;79,88
13,612;-43,50;-6,00;-66,75;79,90
13,668;-44,00;-6,25;-66,50;79,98
13,712;-44,75;-5,50;-66,75;80,55
13,764;-44,25;-5,00;-66,00;79,62
13,813;-44,25;-5,25;-65,75;79,43
13,864;-45,00;-5,75;-66,25;80,29
13,913;-44,50;-6,25;-65,75;79,64
13,966;-44,25;-6,25;-66,00;79,71
14,065;-43,75;-7,50;-65,25;78,92
14,116;-42,25;-11,00;-62,50;76,24
14,167;-42,25;-11,00;-62,50;76,24
14,216;-60,50;81,75;241,50;262,04
14,266;46,75;17,25;91,25;103,97
14,316;21,50;-3,00;4,00;22,07
14,369;-8,50;-6,50;-35,75;37,32
14,466;-35,75;-6,00;-61,00;70,96
14,517;-40,50;-5,25;-64,25;76,13
14,568;-42,25;-5,00;-65,50;78,10
14,667;-43,25;-4,25;-66,00;79,02
14,718;-43,25;-5,00;-66,00;79,07
14,769;-44,25;-4,75;-66,00;79,60
14,818;-44,00;-4,50;-66,00;79,45
14,868;-44,00;-4,75;-65,25;78,84
14,920;-44,00;-5,00;-65,75;79,27
14,971;-44,00;-5,00;-66,25;79,69
15,069;-43,00;-5,00;-66,25;79,14
15,120;-43,50;-5,25;-66,00;79,22
15,219;-43,50;-5,25;-66,00;79,22
15,278;-43,50;-5,25;-66,00;79,22
15,320;-43,50;-5,25;-66,00;79,22
15,391;-39,75;-6,25;-65,50;76,87
